serial,flag,region,cases,newCases,deaths,newDeaths,recovered,active,critical
1,Flag_of_the_Afar_Region.svg.png,Afar,64,12,34,45,35,67,45
2,Flag_of_the_Amhara_Region.svg.png,Amhara,189,12,34,45,35,67,200
3,Flag_of_the_Benishangul-Gumuz_Region.svg.png,Benishangul-Gumuz,4,12,34,45,35,45.200
4,23px-Flag_of_the_Gambella_Region.svg.png,Gambela,1,12,34,45,35,67,300
5,Et_harrar.png,Harari,19,12,34,45,67,45,130
6,Flag_of_the_Oromia_Region.svg.png,Oromia,164,12,34,45,35,67,500
7,23px-Somali_State_original_flag.jpg,Somali,192,12,34,45,35,67,109
8,Flag_of_the_Southern_Nations_Nationalities_and_Peoples_Region.svg.png,Southern-Region,19,12,34,45,35,45,150
9,Flag_of_the_Tigray_Region.svg.png,Tigray,109,12,34,45,35,67,107
10,23px-Flag_of_Addis_Ababa.png,Addis-Ababa,1510,12,34,45,35,45,1580
11,23px-Flag_of_Dire_Dawa.png,Dire-Dawa,8,12,34,45,35,67,105
